Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1690000,1.2586938,25.0,12.95397489539749,2.3750646,3.057899560036353,3.057899560036353,1.0
1700000,1.258587,25.0,12.508064516129032,2.2052493,2.542670225150682,2.542670225150682,1.0
1710000,1.2585447,25.0,13.136170212765958,2.3301363,2.761872848201185,2.761872848201185,1.0
1720000,1.2570348,25.0,12.983193277310924,2.1618078,2.537062984288615,2.537062984288615,1.0
1730000,1.2563401,26.0,11.731517509727626,2.3477461,2.978920589006779,2.978920589006779,1.0
1740000,1.2551489,26.0,12.94979079497908,2.110823,2.431734961466643,2.431734961466643,1.0
1750000,1.2543831,26.0,13.604347826086956,2.1809182,2.516743371541724,2.516743371541724,1.0
1760000,1.252767,26.0,13.741071428571429,2.1275835,2.620296615489079,2.620296615489079,1.0
1770000,1.2514565,26.0,13.762114537444933,2.2765174,2.789911593608174,2.789911593608174,1.0
1780000,1.2507197,26.0,14.389908256880734,1.9586633,2.3325971954812608,2.3325971954812608,1.0
1790000,1.2499354,27.0,12.238866396761134,1.9124757,2.58509559274353,2.58509559274353,1.0
1800000,1.2498035,27.0,12.941666666666666,1.9836912,2.50773332323879,2.50773332323879,1.0
1810000,1.2495873,27.0,12.92436974789916,2.403862,3.163311520013673,3.163311520013673,1.0
1820000,1.2484225,27.0,13.817777777777778,2.1287165,2.687894772644396,2.687894772644396,1.0
1830000,1.2464324,27.0,13.379310344827585,1.9535539,2.659601408886395,2.659601408886395,1.0
1840000,1.246004,27.0,14.560747663551401,2.054959,2.535416783848966,2.535416783848966,1.0
1850000,1.2448609,27.0,13.0,2.3116164,3.0832478802139853,3.0832478802139853,1.0
1860000,1.2445004,27.0,12.472,2.0822449,2.589645235314267,2.589645235314267,1.0
1870000,1.2432501,27.0,12.940677966101696,2.336856,3.0582660788184954,3.0582660788184954,1.0
1880000,1.2429286,27.0,11.732824427480915,2.403397,3.198033056281147,3.198033056281147,1.0
1890000,1.2414551,28.0,11.486891385767791,2.2964005,3.052280693041875,3.052280693041875,1.0
1900000,1.2410527,28.0,12.0546875,2.3051052,3.025516214728433,3.025516214728433,1.0
1910000,1.2381356,29.0,11.816793893129772,1.9657828,2.4115915668242,2.4115915668242,1.0
1920000,1.2380754,29.0,12.577868852459016,1.9675394,2.479627849335035,2.479627849335035,1.0
1930000,1.2373284,29.0,12.878151260504202,2.0395997,2.512613970520613,2.512613970520613,1.0
1940000,1.2373283,29.0,11.721804511278195,2.117699,2.757704573242789,2.757704573242789,1.0
1950000,1.2335298,29.0,12.402439024390244,2.392823,3.086514505868157,3.086514505868157,1.0
1960000,1.2335298,29.0,12.512295081967213,1.8159944,2.311229274940539,2.311229274940539,1.0
1970000,1.2308531,29.0,12.062745098039215,2.2442582,2.882202062624685,2.882202062624685,1.0
1980000,1.2306406,29.0,13.211206896551724,2.15184,2.6758212746669217,2.6758212746669217,1.0
1990000,1.2281784,29.0,12.01953125,2.280146,2.9447281853197764,2.9447281853197764,1.0
2000000,1.2277539,29.0,12.04296875,2.0002108,2.5822464061568273,2.5822464061568273,1.0
2010000,1.227184,29.0,11.88671875,2.0821867,2.585254796376713,2.585254796376713,1.0
2020000,1.2270334,29.0,12.216535433070867,2.2038667,2.8667258155464337,2.8667258155464337,1.0
2030000,1.224573,29.0,11.9453125,2.4393528,3.0615568302032714,3.0615568302032714,1.0
2040000,1.2237599,29.0,12.577235772357724,2.0431337,2.4966368434450974,2.4966368434450974,1.0
2050000,1.222943,30.0,11.102189781021897,2.3968804,3.2727014415183113,3.2727014415183113,1.0
2060000,1.2225974,30.0,11.394833948339484,2.2920732,2.9670992369576363,2.9670992369576363,1.0
2070000,1.2218149,30.0,12.039525691699605,2.1999683,2.721133937683775,2.721133937683775,1.0
2080000,1.2213733,30.0,11.86046511627907,2.1446571,2.604109117620181,2.604109117620181,1.0
2090000,1.2204053,30.0,11.775665399239545,2.4878774,3.170386445233408,3.170386445233408,1.0
2100000,1.2195683,30.0,11.787644787644787,2.3534029,3.055811765442737,3.055811765442737,1.0
2110000,1.2188128,30.0,11.653992395437262,2.6141753,3.556592404370821,3.556592404370821,1.0
2120000,1.2180578,30.0,12.234126984126984,1.9084977,2.3565409870118534,2.3565409870118534,1.0
2130000,1.2178204,30.0,12.118110236220472,2.3229268,2.9785013086508707,2.9785013086508707,1.0
2140000,1.21752,30.0,12.459677419354838,2.2783842,2.7683266133510616,2.7683266133510616,1.0
2150000,1.217219,30.0,11.8715953307393,2.197237,2.8962735206273296,2.8962735206273296,1.0
2160000,1.2167045,30.0,11.811538461538461,2.3785121,3.043035872442982,3.043035872442982,1.0
2170000,1.215991,31.0,10.682926829268293,1.9913869,2.499043050836837,2.499043050836837,1.0
2180000,1.2139251,31.0,11.594696969696969,2.2428613,2.9386903379433953,2.9386903379433953,1.0
2190000,1.2135665,31.0,10.917857142857143,2.1434233,2.871067757998437,2.871067757998437,1.0
2200000,1.2125703,31.0,11.264705882352942,2.1485436,2.8971182634009094,2.8971182634009094,1.0
2210000,1.2123154,31.0,11.764478764478765,2.2355387,2.6435236799579576,2.6435236799579576,1.0
2220000,1.2109133,32.0,11.087272727272728,2.222704,2.8330495222449157,2.8330495222449157,1.0
2230000,1.2108289,32.0,11.251824817518248,2.4570212,3.0556297157227483,3.0556297157227483,1.0
2240000,1.2102058,32.0,11.244444444444444,1.999229,2.502029542898383,2.502029542898383,1.0
2250000,1.2102286,32.0,11.087272727272728,2.2366152,2.6940981721426502,2.6940981721426502,1.0
2260000,1.2104604,32.0,11.826923076923077,2.1656544,2.743818410777051,2.743818410777051,1.0
2270000,1.2104604,32.0,10.989247311827956,2.2686288,3.0784301082542433,3.0784301082542433,1.0
2280000,1.2087649,32.0,12.007843137254902,2.0355105,2.431022138326311,2.431022138326311,1.0
